Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
65.112534	0.002968	0.065332	0.065400	87.734556	47.576774	1.627114	94.201164	94.201164	94.201164	3.710672	2.582842	2.830000	0.139332	0.059483	34.136565
66.050449	0.003055	0.066270	0.066341	87.874248	52.719040	1.606891	92.955275	92.955275	92.955275	3.668848	2.731496	2.830000	0.136056	0.053681	26.414636
67.001875	0.003143	0.067222	0.067295	88.009943	57.228732	1.586190	91.706123	91.706123	91.706123	3.624947	2.862435	2.830000	0.133953	0.049451	16.827326
67.967006	0.003234	0.068187	0.068263	88.141620	59.900925	1.565032	90.454582	90.454582	90.454582	3.579038	2.970879	2.830000	0.133037	0.047245	5.720083
68.946038	0.003328	0.069166	0.069246	88.269263	59.750899	1.543440	89.201538	89.201538	89.201538	3.531203	3.053109	2.830000	0.133315	0.047363	-5.955162
69.939174	0.003424	0.070158	0.070242	88.392865	56.832781	1.521439	87.947878	87.947878	87.947878	3.481529	3.106875	2.830000	0.134790	0.049795	-16.962466
70.946615	0.003524	0.071165	0.071252	88.512427	52.189925	1.499055	86.694496	86.694496	86.694496	3.430116	3.131595	2.830000	0.137458	0.054225	-26.395463
71.968567	0.003626	0.072186	0.072277	88.627957	47.009944	1.476315	85.442278	85.442278	85.442278	3.377070	3.128325	2.830000	0.141312	0.060200	-33.956773
73.005241	0.003731	0.073222	0.073317	88.739472	42.056637	1.453249	84.192108	84.192108	84.192108	3.322504	3.099513	2.830000	0.146335	0.067290	-39.786020
74.056847	0.003839	0.074272	0.074371	88.846996	37.654889	1.429887	82.944856	82.944856	82.944856	3.266539	3.048602	2.830000	0.152508	0.075156	-44.189578
75.123601	0.003950	0.075338	0.075441	88.950561	33.871333	1.406260	81.701380	81.701380	81.701380	3.209300	2.979589	2.830000	0.159806	0.083551	-47.479427
76.205721	0.004065	0.076418	0.076526	89.050205	30.660417	1.382400	80.462519	80.462519	80.462519	3.150916	2.896617	2.830000	0.168199	0.092301	-49.915564
77.303429	0.004182	0.077514	0.077627	89.145976	27.941690	1.358340	79.229089	79.229089	79.229089	3.091520	2.803636	2.830000	0.177652	0.101282	-51.698625
78.416948	0.004304	0.078626	0.078743	89.237925	25.632878	1.334113	78.001883	78.001883	78.001883	3.031247	2.704195	2.830000	0.188126	0.110405	-52.979077
79.546508	0.004428	0.079753	0.079876	89.326112	23.661446	1.309750	76.781665	76.781665	76.781665	2.970233	2.601310	2.830000	0.199578	0.119604	-53.869025
80.692338	0.004557	0.080896	0.081024	89.410602	21.967115	1.285287	75.569169	75.569169	75.569169	2.908613	2.497438	2.830000	0.211963	0.128829	-54.452349
81.854673	0.004689	0.082056	0.082189	89.491465	20.501032	1.260754	74.365094	74.365094	74.365094	2.846524	2.394493	2.830000	0.225231	0.138042	-54.792386
83.033751	0.004824	0.083231	0.083371	89.568776	19.223965	1.236185	73.170107	73.170107	73.170107	2.784097	2.293904	2.830000	0.239330	0.147212	-54.937522
84.229813	0.004964	0.084424	0.084570	89.642616	18.104450	1.211611	71.984836	71.984836	71.984836	2.721464	2.196687	2.830000	0.254207	0.156315	-54.925175
85.443104	0.005108	0.085634	0.085786	89.713067	17.117180	1.187063	70.809870	70.809870	70.809870	2.658750	2.103522	2.830000	0.269807	0.165331	-54.784636
86.673872	0.005256	0.086860	0.087019	89.780219	16.241696	1.162572	69.645762	69.645762	69.645762	2.596079	2.014822	2.830000	0.286075	0.174243	-54.539111
87.922369	0.005408	0.088104	0.088270	89.844160	15.461352	1.138166	68.493022	68.493022	68.493022	2.533567	1.930795	2.830000	0.302952	0.183037	-54.207186
89.188849	0.005565	0.089366	0.089539	89.904984	14.762513	1.113873	67.352121	67.352121	67.352121	2.471328	1.851497	2.830000	0.320383	0.191702	-53.803904
90.473572	0.005726	0.090645	0.090826	89.962786	14.133932	1.089721	66.223488	66.223488	66.223488	2.409465	1.776876	2.830000	0.338311	0.200227	-53.341557
91.776802	0.005892	0.091943	0.092131	90.017661	13.566269	1.065734	65.107512	65.107512	65.107512	2.348080	1.706802	2.830000	0.356679	0.208606	-52.830275
93.098803	0.006062	0.093259	0.093455	90.069708	13.051716	1.041936	64.004544	64.004544	64.004544	2.287264	1.641093	2.830000	0.375433	0.216830	-52.278477
94.439848	0.006238	0.094593	0.094799	90.119024	12.583703	1.018350	62.914893	62.914893	62.914893	2.227104	1.579539	2.830000	0.394518	0.224894	-51.693207
95.800210	0.006419	0.095946	0.096161	90.165707	12.156666	0.994998	61.838831	61.838831	61.838831	2.167679	1.521908	2.830000	0.413882	0.232794	-51.080397
97.180167	0.006604	0.097319	0.097543	90.209856	11.765871	0.971898	60.776592	60.776592	60.776592	2.109061	1.467966	2.830000	0.433475	0.240526	-50.445072
98.580001	0.006796	0.098710	0.098944	90.251568	11.407263	0.949069	59.728374	59.728374	59.728374	2.051316	1.417476	2.830000	0.453247	0.248088	-49.791509
100.000000	0.006992	0.100122	0.100366	90.290940	11.077352	0.926528	58.694340	58.694340	58.694340	1.994501	1.370208	2.830000	0.473153	0.255476	-49.123366
